run_name,seed,use_ste,solve_lp_in_loss,w_supervised,w_violation,w_ed_objective,w_startup
full_s0,0,1,1,1.0,10.0,1.0,0.0
full_s1,1,1,1,1.0,10.0,1.0,0.0
full_s2,2,1,1,1.0,10.0,1.0,0.0
no_ste_s0,0,0,0,1.0,0.0,0.0,0.0
no_ste_s1,1,0,0,1.0,0.0,0.0,0.0
no_ste_s2,2,0,0,1.0,0.0,0.0,0.0
no_lp_sup_viol_s0,0,1,0,1.0,10.0,0.0,0.0
no_lp_sup_viol_s1,1,1,0,1.0,10.0,0.0,0.0
no_lp_sup_viol_s2,2,1,0,1.0,10.0,0.0,0.0
no_lp_sup_s0,0,1,0,1.0,0.0,0.0,0.0
no_lp_sup_s1,1,1,0,1.0,0.0,0.0,0.0
no_lp_sup_s2,2,1,0,1.0,0.0,0.0,0.0
no_lp_viol_s0,0,1,0,0.0,10.0,0.0,0.0
no_lp_viol_s1,1,1,0,0.0,10.0,0.0,0.0
no_lp_viol_s2,2,1,0,0.0,10.0,0.0,0.0
no_sup_s0,0,1,1,0.0,10.0,1.0,0.0
no_sup_s1,1,1,1,0.0,10.0,1.0,0.0
no_sup_s2,2,1,1,0.0,10.0,1.0,0.0
no_viol_s0,0,1,1,1.0,0.0,1.0,0.0
no_viol_s1,1,1,1,1.0,0.0,1.0,0.0
no_viol_s2,2,1,1,1.0,0.0,1.0,0.0
just_obj_s0,0,1,1,0.0,0.0,1.0,0.0
just_obj_s1,1,1,1,0.0,0.0,1.0,0.0
just_obj_s2,2,1,1,0.0,0.0,1.0,0.0